"","V1","V2"
"635",113,24
"636",24,75
"637",75,173
"638",173,38
"639",38,119
"640",119,42
"641",42,178
"642",178,134
"643",134,3
"644",3,120
"645",120,80
"646",80,142
"647",142,7
"648",7,52
"649",52,96
"650",96,129
"651",129,47
"652",47,97
"653",97,24
"654",24,153
"655",153,15
"656",15,135
"657",135,38
"658",38,110
"659",110,50
"660",50,108
"661",108,19
"662",19,139
"663",139,89
"664",89,22
"665",22,130
"666",130,172
"667",172,128
"668",128,43
"669",43,2
"670",2,70
"671",70,147
"672",147,82
"673",82,124
"674",124,74
"675",74,143
"676",143,99
"677",99,6
"678",6,110
"679",110,153
"680",153,12
"681",12,59
"682",59,150
"683",150,17
"684",17,67
"685",67,22
"686",22,77
"687",77,142
"688",142,94
"689",94,40
"690",40,86
"691",86,49
"692",49,145
"693",145,13
"694",13,150
"695",150,65
"696",65,106
"697",106,51
"698",51,119
"699",119,163
"700",163,64
"701",64,168
"702",168,29
"703",29,155
"704",155,107
"705",107,173
"706",173,64
"707",64,110
"708",110,169
"709",169,123
"710",123,40
"711",40,97
"712",97,128
"713",128,48
"714",48,87
"715",87,140
"716",140,175
"717",175,39
"718",39,133
"719",133,60
"720",60,105
"721",105,9
"722",9,88
"723",88,136
"724",136,82
"725",82,178
"726",178,113
"727",113,48
"728",48,146
"729",146,83
"730",83,29
"731",29,133
"732",133,90
"733",90,39
"734",39,167
"735",167,46
"736",46,150
"737",150,19
"738",19,143
"739",143,93
"740",93,24
"741",24,143
"742",143,38
"743",38,170
"744",170,28
"745",28,122
"746",122,170
"747",170,60
"748",60,112
"749",112,164
"750",164,118
"751",118,57
"752",57,9
"753",9,150
"754",150,16
"755",16,85
"756",85,50
"757",50,95
"758",95,4
"759",4,41
"760",41,120
"761",120,55
"762",55,109
"763",109,69
"764",69,143
"765",143,62
"766",62,103
"767",103,1
"768",1,121
"769",121,178
"770",178,129
"771",129,23
"772",23,158
"773",158,82
"774",82,149
"775",149,75
"776",75,115
"777",115,46
"778",46,117
"779",117,74
"780",74,1
"781",1,50
"782",50,111
"783",111,166
"784",166,40
"785",40,5
"786",5,106
"787",106,57
"788",57,103
"789",103,142
"790",142,30
"791",30,137
"792",137,70
"793",70,25
"794",25,92
"795",92,15
"796",15,151
"797",151,12
"798",12,80
"799",80,32
"800",32,159
"801",159,80
"802",80,151
"803",151,8
"804",8,146
"805",146,85
"806",85,129
"807",129,10
"808",10,145
"809",145,100
"810",100,46
"811",46,132
"812",132,71
"813",71,24
"814",24,104
"815",104,141
"816",141,31
"817",31,81
"818",81,140
"819",140,78
"820",78,129
"821",129,170
"822",170,70
"823",70,159
"824",159,18
"825",18,78
"826",78,24
"827",24,120
"828",120,162
"829",162,80
"830",80,38
"831",38,176
"832",176,135
"833",135,92
"834",92,157
"835",157,114
"836",114,59
"837",59,13
"838",13,137
"839",137,38
"840",38,117
"841",117,77
"842",77,179
"843",179,120
"844",120,47
"845",47,147
"846",147,84
"847",84,127
"848",127,98
"849",98,59
"850",59,175
"851",175,124
"852",124,168
"853",168,39
"854",39,172
"855",172,48
"856",48,96
"857",96,8
"858",8,74
"859",74,153
"860",153,11
"861",11,109
"862",109,171
"863",171,36
"864",36,164
"865",164,32
"866",32,171
"867",171,78
"868",78,115
"869",115,58
"870",58,158
"871",158,19
"872",19,65
"873",65,129
"874",129,82
"875",82,138
"876",138,2
"877",2,52
"878",52,154
"879",154,80
"880",80,148
"881",148,43
"882",43,103
"883",103,149
"884",149,108
"885",108,70
"886",70,18
"887",18,148
"888",148,110
"889",110,54
"890",54,127
"891",127,15
"892",15,61
"893",61,151
"894",151,72
"895",72,22
"896",22,110
"897",110,60
"898",60,161
"899",161,69
"900",69,3
"901",3,43
"902",43,122
"903",122,82
"904",82,151
"905",151,77
"906",77,144
"907",144,88
"908",88,40
"909",40,91
"910",91,136
"911",136,86
"912",86,0
"913",0,138
"914",138,90
"915",90,12
"916",12,56
"917",56,16
"918",16,113
"919",113,34
"920",34,162
"921",162,117
"922",117,170
"923",170,51
"924",51,84
"925",84,149
"926",149,98
"927",98,177
"928",177,37
"929",37,106
"930",106,67
"931",67,153
"932",153,8
"933",8,133
"934",133,25
"935",25,66
"936",66,108
"937",108,38
"938",38,162
"939",162,21
"940",21,152
"941",152,46
"942",46,125
"943",125,167
"944",167,27
"945",27,125
"946",125,83
"947",83,40
"948",40,119
"949",119,57
"950",57,136
"951",136,101
"952",101,62
"953",62,109
"954",109,51
"955",51,157
"956",157,35
"957",35,174
"958",174,141
"959",141,95
"960",95,53
"961",53,139
"962",139,178
"963",178,127
"964",127,22
"965",22,121
"966",121,46
"967",46,103
"968",103,64
"969",64,157
"970",157,26
"971",26,101
"972",101,143
"973",143,10
"974",10,154
"975",154,32
"976",32,165
"977",165,43
"978",43,126
"979",126,99
"980",99,47
"981",47,92
"982",92,38
"983",38,121
"984",121,161
"985",161,16
"986",16,134
"987",134,70
"988",70,105
"989",105,140
"990",140,89
"991",89,149
"992",149,14
"993",14,87
"994",87,40
"995",40,111
"996",111,8
"997",8,50
"998",50,115
"999",115,25
"1000",25,75
"1001",75,142
"1002",142,173
"1003",173,30
"1004",30,76
"1005",76,0
"1006",0,130
"1007",130,169
"1008",169,94
"1009",94,131
"1010",131,90
"1011",90,30
"1012",30,172
"1013",172,69
"1014",69,24
"1015",24,160
"1016",160,32
"1017",32,168
